battery_id,cycle_index,y_true,y_pred,stage_value,fold,lower_bound,upper_bound,life_stage
B0006,6,105.0,102.42212484710377,0.9944044947624207,B0006,67.42117934140487,137.42307035280268,early
B0006,7,104.0,99.66789261483038,0.9943839311599731,B0006,64.66694710913148,134.66883812052927,early
B0006,8,103.0,98.15493839960567,0.994293212890625,B0006,63.15399289390677,133.15588390530456,early
B0006,9,102.0,96.97575633730384,0.9880834221839905,B0006,61.974810831604934,131.97670184300273,early
B0006,10,101.0,95.21335531158277,0.9724074006080627,B0006,60.21240980588387,130.21430081728167,early
B0006,11,100.0,96.16445700115752,0.9720994234085083,B0006,61.163511495458614,131.16540250685642,early
B0006,12,99.0,94.60578389231486,0.9666982889175415,B0006,59.60483838661596,129.60672939801375,early
B0006,13,98.0,93.1240504996626,0.9609532952308655,B0006,58.1231049939637,128.1249960053615,early
B0006,14,97.0,92.35301374516881,0.9555950164794922,B0006,57.35206823946991,127.35395925086772,early
B0006,15,96.0,89.65688152081347,0.9499295949935913,B0006,54.65593601511457,124.65782702651236,early
B0006,16,95.0,86.8035483924881,0.9443038702011108,B0006,51.802602886789195,121.80449389818699,early
B0006,17,94.0,86.81360401268144,0.9389581680297852,B0006,51.81265850698254,121.81454951838035,early
B0006,18,93.0,85.25197616416742,0.9330965876579285,B0006,50.251030658468515,120.25292166986631,early
B0006,19,92.0,83.89640563603345,0.927702784538269,B0006,48.89546013033455,118.89735114173234,early
B0006,20,91.0,95.09885618914282,0.927702784538269,B0006,60.09791068344392,130.09980169484172,early
B0006,21,90.0,94.58846741009,0.927702784538269,B0006,59.5875219043911,129.5894129157889,early
B0006,22,89.0,94.10577277513676,0.9610598683357239,B0006,59.104827269437855,129.10671828083565,early
B0006,23,88.0,94.47141166984483,0.9610598683357239,B0006,59.470466164145925,129.47235717554372,early
B0006,24,87.0,92.99310418788362,0.9611419439315796,B0006,57.992158682184716,127.99404969358253,early
B0006,25,86.0,92.30055159055027,0.9610598683357239,B0006,57.29960608485137,127.30149709624916,early
B0006,26,85.0,89.10822136977319,0.9504067301750183,B0006,54.10727586407429,124.10916687547208,early
B0006,27,84.0,88.96989148268307,0.93912672996521,B0006,53.968945976984166,123.97083698838196,early
B0006,28,83.0,87.69155136511114,0.9278982877731323,B0006,52.69060585941224,122.69249687081003,early
B0006,29,82.0,85.93106216408856,0.9227773547172546,B0006,50.93011665838966,120.93200766978745,early
B0006,30,81.0,84.78503352297733,0.9173061847686768,B0006,49.78408801727843,119.78597902867622,early
B0006,31,80.0,86.62250979105968,0.9173061847686768,B0006,51.62156428536078,121.62345529675858,early
B0006,32,79.0,85.43552427588956,0.9173061847686768,B0006,50.43457877019066,120.43646978158847,early
B0006,33,78.0,85.02553308749759,0.9173061847686768,B0006,50.02458758179869,120.02647859319649,early
B0006,34,77.0,85.48133569952249,0.9173061847686768,B0006,50.48039019382359,120.4822812052214,early
B0006,35,76.0,85.8844178141905,0.9163419604301453,B0006,50.8834723084916,120.8853633198894,early
B0006,36,75.0,81.7044453108377,0.9084267020225525,B0006,46.7034998051388,116.7053908165366,early
B0006,37,74.0,82.37789467470895,0.8981971144676208,B0006,68.81294694992904,95.94284239948887,mid
B0006,38,73.0,81.00948492718169,0.8956966400146484,B0006,67.44453720240178,94.5744326519616,mid
B0006,39,72.0,80.2127565828601,0.8876087665557861,B0006,66.64780885808018,93.77770430764001,mid
B0006,40,71.0,78.62220707308882,0.8796582221984863,B0006,65.0572593483089,92.18715479786873,mid
B0006,41,70.0,76.25798870795259,0.8747231960296631,B0006,62.69304098317268,89.8229364327325,mid
B0006,42,69.0,74.71138552883255,0.8695164918899536,B0006,61.14643780405264,88.27633325361246,mid
B0006,43,68.0,70.05485166781123,0.8666545152664185,B0006,56.48990394303132,83.61979939259115,mid
B0006,44,67.0,71.40381228479345,0.8666545152664185,B0006,57.83886456001353,84.96876000957336,mid
B0006,45,66.0,71.02677316431698,0.8644885420799255,B0006,57.461825439537066,84.59172088909689,mid
B0006,46,65.0,69.85113591034472,0.8591548800468445,B0006,56.28618818556481,83.41608363512464,mid
B0006,47,64.0,67.81388258699722,0.8563377261161804,B0006,54.24893486221731,81.37883031177714,mid
